date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:33	379/379	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sat,%2001%20Apr%202017%2022:26:33%20GMT	http://stonecolddev.in/robots.txt		(from )
16:26:33	26081/26081	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:33%20GMT	http://stonecolddev.in/	stonecolddev.in/index.html	(from )
16:26:34	31825/31825	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202017%2022:26:33%20GMT	http://stonecolddev.in/assets/application-24d259c985a7529c30f10dfa51efa0eef10e104849c3303e76f286ffb833fbb2.css	stonecolddev.in/assets/application-24d259c985a7529c30f10dfa51efa0eef10e104849c3303e76f286ffb833fbb2.css	(from http://stonecolddev.in/)
16:26:34	0/0	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202017%2022:26:34%20GMT	http://stonecolddev.in/assets/home-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css	stonecolddev.in/assets/home-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css	(from http://stonecolddev.in/)
16:26:34	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:34%20GMT	http://stonecolddev.in/images/apple-touch-icon-144x144-precomposed.png	stonecolddev.in/images/apple-touch-icon-144x144-precomposed.png	(from http://stonecolddev.in/)
16:26:34	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:34%20GMT	http://stonecolddev.in/images/apple-touch-icon-114x114-precomposed.png	stonecolddev.in/images/apple-touch-icon-114x114-precomposed.png	(from http://stonecolddev.in/)
16:26:35	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:35%20GMT	http://stonecolddev.in/images/apple-touch-icon-72x72-precomposed.png	stonecolddev.in/images/apple-touch-icon-72x72-precomposed.png	(from http://stonecolddev.in/)
16:26:35	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:35%20GMT	http://stonecolddev.in/images/apple-touch-icon-precomposed.png	stonecolddev.in/images/apple-touch-icon-precomposed.png	(from http://stonecolddev.in/)
16:26:35	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:35%20GMT	http://stonecolddev.in/images/favicon.ico	stonecolddev.in/images/favicon.ico	(from http://stonecolddev.in/)
16:26:35	8792/8792	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:35%20GMT	http://stonecolddev.in/users/sign_up	stonecolddev.in/users/sign_up.html	(from http://stonecolddev.in/)
16:26:36	8753/8753	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:36%20GMT	http://stonecolddev.in/users/sign_in	stonecolddev.in/users/sign_in.html	(from http://stonecolddev.in/)
16:26:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:26:36%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/)
16:26:37	26130/26130	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:36%20GMT	http://stonecolddev.in/posts	stonecolddev.in/posts.html	(from http://stonecolddev.in/)
16:26:37	8449/8449	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:37%20GMT	http://stonecolddev.in/posts/rss-is-up	stonecolddev.in/posts/rss-is-up.html	(from http://stonecolddev.in/)
16:26:37	8657/8657	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:37%20GMT	http://stonecolddev.in/users/1	stonecolddev.in/users/1.html	(from http://stonecolddev.in/)
16:26:37	49/49	---MC-	401	error ('Unauthorized')	application/rss+xml	date:Sat,%2001%20Apr%202017%2022:26:37%20GMT	http://stonecolddev.in/feed.rss	stonecolddev.in/feed.rss	(from http://stonecolddev.in/)
16:26:38	14160/14160	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:38%20GMT	http://stonecolddev.in/posts/playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-part-2-testing	stonecolddev.in/posts/playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-part-2-testing.html	(from http://stonecolddev.in/)
16:26:38	23748/23748	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:38%20GMT	http://stonecolddev.in/posts/playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres	stonecolddev.in/posts/playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres.html	(from http://stonecolddev.in/)
16:26:38	3919/3919	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:38%20GMT	http://stonecolddev.in/playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-part-2-testing	stonecolddev.in/playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-part-2-testing	(from http://stonecolddev.in/)
16:26:39	8655/8655	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:38%20GMT	http://stonecolddev.in/posts/snippet-run-fsck-on-lvm-partitions	stonecolddev.in/posts/snippet-run-fsck-on-lvm-partitions.html	(from http://stonecolddev.in/)
16:26:39	10395/10395	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:39%20GMT	http://stonecolddev.in/posts/introducing-fluorescent	stonecolddev.in/posts/introducing-fluorescent.html	(from http://stonecolddev.in/)
16:26:39	11506/11506	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:39%20GMT	http://stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-a6661dcc-47cb-43fb-9ad5-3e9815264f92	stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-a6661dcc-47cb-43fb-9ad5-3e9815264f92.html	(from http://stonecolddev.in/)
16:26:39	8649/8649	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:39%20GMT	http://stonecolddev.in/users/11	stonecolddev.in/users/11.html	(from http://stonecolddev.in/)
16:26:39	12154/12154	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:39%20GMT	http://stonecolddev.in/?page=2	stonecolddev.in/index4658.html	(from http://stonecolddev.in/)
16:26:40	19509/19509	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:39%20GMT	http://stonecolddev.in/?page=3	stonecolddev.in/index9ba9.html	(from http://stonecolddev.in/)
16:26:40	9508/9508	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:40%20GMT	http://stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-995d37b5-dd73-4026-a230-f42916315523	stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-995d37b5-dd73-4026-a230-f42916315523.html	(from http://stonecolddev.in/)
16:26:40	14939/14939	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:40%20GMT	http://stonecolddev.in/?page=4	stonecolddev.in/indexfdb0.html	(from http://stonecolddev.in/)
16:26:40	8641/8641	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:40%20GMT	http://stonecolddev.in/users/4	stonecolddev.in/users/4.html	(from http://stonecolddev.in/)
16:26:41	9415/9415	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:41%20GMT	http://stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-8a76baaf-db32-40cb-8852-8dea9e392e82	stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-8a76baaf-db32-40cb-8852-8dea9e392e82.html	(from http://stonecolddev.in/)
16:26:41	28884/28884	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:41%20GMT	http://stonecolddev.in/?page=5	stonecolddev.in/indexaf4d.html	(from http://stonecolddev.in/)
16:26:41	10884/10884	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:41%20GMT	http://stonecolddev.in/?page=7	stonecolddev.in/index235c.html	(from http://stonecolddev.in/)
16:26:41	8655/8655	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:41%20GMT	http://stonecolddev.in/users/3	stonecolddev.in/users/3.html	(from http://stonecolddev.in/)
16:26:42	7922/7922	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:41%20GMT	http://stonecolddev.in/categories/tech-help	stonecolddev.in/categories/tech-help.html	(from http://stonecolddev.in/)
16:26:42	9029/9029	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:42%20GMT	http://stonecolddev.in/categories/code-snippets	stonecolddev.in/categories/code-snippets.html	(from http://stonecolddev.in/)
16:26:42	10528/10528	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:42%20GMT	http://stonecolddev.in/categories/devops	stonecolddev.in/categories/devops.html	(from http://stonecolddev.in/)
16:26:43	10978/10978	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:42%20GMT	http://stonecolddev.in/categories/9	stonecolddev.in/categories/9.html	(from http://stonecolddev.in/)
16:26:43	8972/8972	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:43%20GMT	http://stonecolddev.in/categories/8	stonecolddev.in/categories/8.html	(from http://stonecolddev.in/)
16:26:43	9371/9371	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:43%20GMT	http://stonecolddev.in/categories/7	stonecolddev.in/categories/7.html	(from http://stonecolddev.in/)
16:26:44	74850/74850	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:43%20GMT	http://stonecolddev.in/categories/programming	stonecolddev.in/categories/programming.html	(from http://stonecolddev.in/)
16:26:45	12538/12538	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:44%20GMT	http://stonecolddev.in/categories/general	stonecolddev.in/categories/general.html	(from http://stonecolddev.in/)
16:26:45	3919/3919	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:26:45%20GMT	http://stonecolddev.in/0/00	stonecolddev.in/0/00	(from http://stonecolddev.in/)
16:26:45	11458/11458	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:45%20GMT	http://stonecolddev.in/2016/06	stonecolddev.in/2016/06.html	(from http://stonecolddev.in/)
16:26:45	8403/8403	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:45%20GMT	http://stonecolddev.in/2015/08	stonecolddev.in/2015/08.html	(from http://stonecolddev.in/)
16:26:46	8874/8874	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:46%20GMT	http://stonecolddev.in/2015/06	stonecolddev.in/2015/06.html	(from http://stonecolddev.in/)
16:26:46	25507/25507	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:46%20GMT	http://stonecolddev.in/2015/05	stonecolddev.in/2015/05.html	(from http://stonecolddev.in/)
16:26:46	13359/13359	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:46%20GMT	http://stonecolddev.in/2015/02	stonecolddev.in/2015/02.html	(from http://stonecolddev.in/)
16:26:47	11366/11366	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:46%20GMT	http://stonecolddev.in/2015/01	stonecolddev.in/2015/01.html	(from http://stonecolddev.in/)
16:26:47	9427/9427	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:47%20GMT	http://stonecolddev.in/2014/12	stonecolddev.in/2014/12.html	(from http://stonecolddev.in/)
16:26:47	14393/14393	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:47%20GMT	http://stonecolddev.in/2014/11	stonecolddev.in/2014/11.html	(from http://stonecolddev.in/)
16:26:48	13866/13866	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:47%20GMT	http://stonecolddev.in/2014/10	stonecolddev.in/2014/10.html	(from http://stonecolddev.in/)
16:26:48	14803/14803	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:26:48%20GMT	http://stonecolddev.in/2014/09	stonecolddev.in/2014/09.html	(from http://stonecolddev.in/)
16:26:51	26/26	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Apr%202017%2022:26:48%20GMT	http://stonecolddev.in/assets/home-0b49e5589c0b754795ec3744e394bb16c1bb4934cadb70d2488c99e8fcb8976d.js	stonecolddev.in/assets/home-0b49e5589c0b754795ec3744e394bb16c1bb4934cadb70d2488c99e8fcb8976d.js	(from http://stonecolddev.in/)
